nombre,cuenta,username,followers,engagementRate
Maru Botana,https://www.instagram.com/marubotanaok,marubotanaok,"1,092,896",1.10%
Alejandra  Maglietti,https://www.instagram.com/alemaglietti,alemaglietti,"1,092,004",1.40%
Gonzaa Fonseca,https://www.instagram.com/gonzaafonseca,gonzaafonseca,"1,087,041",8.70%
Sabrina Garciarena,https://www.instagram.com/sabrinagarciarena,sabrinagarciarena,"1,085,537",1.30%
Gastón Vietto,https://www.instagram.com/gasvietto6,gasvietto6,"1,084,882",3.10%
Victorio DAlessandro,https://www.instagram.com/vicdalee,vicdalee,"1,076,847",2%
ᴄᴀʟᴜᴜᴜᴜᴜ,https://www.instagram.com/lacalurivero,lacalurivero,"1,070,468",0.50%
HUMOR PARA TODOS,https://www.instagram.com/argento_oficial,argento_oficial,"1,059,700",3.70%
Fer Vazquez,https://www.instagram.com/yfervazquez,yfervazquez,"1,059,145",3.50%
Lucas Lezin,https://www.instagram.com/lucaslezin,lucaslezin,"1,051,213",5.50%
Mauricio Macri,https://www.instagram.com/mauriciomacri,mauriciomacri,"1,045,067",12.40%
AXEL,https://www.instagram.com/axeloficial,axeloficial,"1,045,013",1.10%
Lautaro Martinez,https://www.instagram.com/lautaromartinezz10,lautaromartinezz10,"1,043,669",15.10%
Chino Darin,https://www.instagram.com/chinodarin,chinodarin,"1,043,412",3.10%
Jorge Rial,https://www.instagram.com/jrial,jrial,"1,037,204",0.50%
PATO ⑩ †,https://www.instagram.com/patoviral,patoviral,"1,033,282",11.20%
Eugenia Tobal,https://www.instagram.com/eugeniatobal,eugeniatobal,"1,008,507",5%
ALOHA,https://www.instagram.com/silvinalunaoficial,silvinalunaoficial,"1,006,483",0.90%
Gregorio Rossello,https://www.instagram.com/gregorossello,gregorossello,"1,001,901",2.20%
Lic. Estefanía Beltrami 🍓🍍🍏,https://www.instagram.com/nutricion.salud.arg,nutricion.salud.arg,"994,136",1.10%
Mariano Bondar,https://www.instagram.com/mariano_bondar,mariano_bondar,"988,942",6.70%
Pedro Parnenzini 👂,https://www.instagram.com/pedritovm,pedritovm,"988,619",27.20%
#YVosTipo 🇦🇷,https://www.instagram.com/yvostipo,yvostipo,"980,119",2.10%
Abel Pintos,https://www.instagram.com/abelpintosoficial,abelpintosoficial,"974,181",4.20%
Thelma Fardin,https://www.instagram.com/soythelmafardin,soythelmafardin,"962,233",1.90%
Franco Armani,https://www.instagram.com/francoarmani34,francoarmani34,"956,622",21.20%
♡🅜🅞🅡🅔 🅡🅘🅐🅛♡,https://www.instagram.com/moreerial,moreerial,"947,467",1.40%
Violeta,https://www.instagram.com/violeurtizberea,violeurtizberea,"941,461",2.80%
Ignacio Scocco,https://www.instagram.com/nacho.scocco32,nacho.scocco32,"937,613",14.30%
Sabrina,https://www.instagram.com/rojassasi,rojassasi,"935,853",2.10%
Adrián Suar,https://www.instagram.com/elchuecosuar,elchuecosuar,"931,424",0.40%
Soledad Fandiño,https://www.instagram.com/soledadfandino,soledadfandino,"909,680",1.70%
Luli Fernandez,https://www.instagram.com/lulifernandezok,lulifernandezok,"905,802",1.90%
Gonza Gravano,https://www.instagram.com/gonzagravano,gonzagravano,"896,854",3.10%
Magui Bravi ▲,https://www.instagram.com/maggiebravi,maggiebravi,"893,017",1.10%
Driussi Sebastian ⚽️,https://www.instagram.com/sebadriussi.11,sebadriussi.11,"885,946",7.50%
Yani Latorre,https://www.instagram.com/yanilatorre,yanilatorre,"879,986",1.30%
🌟BRENDA ASNICAR 🌟,https://www.instagram.com/basnicar,basnicar,"878,098",4.20%
